MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,OfdmRate6Mbps,7.40253,3,20,800,30,7
1,OfdmRate12Mbps,15.1598,3,20,800,30,7
2,OfdmRate18Mbps,22.6605,3,20,800,30,7
3,OfdmRate24Mbps,30.5838,3,20,800,30,7
4,OfdmRate36Mbps,45.8676,3,20,800,30,7
5,OfdmRate48Mbps,61.1505,3,20,800,30,7
6,OfdmRate54Mbps,68.8051,3,20,800,30,7
7,OfdmRate54Mbps,76.4352,3,20,800,30,7
8,OfdmRate54Mbps,91.3424,3,20,800,30,7
9,OfdmRate54Mbps,100.966,3,20,800,30,7
10,OfdmRate54Mbps,112.856,3,20,800,30,7
11,OfdmRate54Mbps,124.336,3,20,800,30,7
12,OfdmRate54Mbps,133.719,3,20,800,30,7
13,OfdmRate54Mbps,147.641,3,20,800,30,7
0,OfdmRate6Mbps,14.8779,3,40,800,30,7
1,OfdmRate12Mbps,30.3034,3,40,800,30,7
2,OfdmRate18Mbps,45.4476,3,40,800,30,7
3,OfdmRate24Mbps,61.1505,3,40,800,30,7
4,OfdmRate36Mbps,91.3424,3,40,800,30,7
5,OfdmRate48Mbps,119.719,3,40,800,30,7
6,OfdmRate54Mbps,133.719,3,40,800,30,7
7,OfdmRate54Mbps,147.641,3,40,800,30,7
8,OfdmRate54Mbps,174.535,3,40,800,30,7
9,OfdmRate54Mbps,191.506,3,40,800,30,7
10,OfdmRate54Mbps,213.413,3,40,800,30,7
11,OfdmRate54Mbps,233.05,3,40,800,30,7
12,OfdmRate54Mbps,249.452,3,40,800,30,7
13,OfdmRate54Mbps,274.569,3,40,800,30,7
0,OfdmRate6Mbps,31.0718,3,80,800,30,7
1,OfdmRate12Mbps,63.2724,3,80,800,30,7
2,OfdmRate18Mbps,94.5496,3,80,800,30,7
3,OfdmRate24Mbps,125.213,3,80,800,30,7
4,OfdmRate36Mbps,181.692,3,80,800,30,7
5,OfdmRate48Mbps,234.597,3,80,800,30,7
6,OfdmRate54Mbps,260.45,3,80,800,30,7
7,OfdmRate54Mbps,285.628,3,80,800,30,7
8,OfdmRate54Mbps,330.962,3,80,800,30,7
9,OfdmRate54Mbps,361.319,3,80,800,30,7
10,OfdmRate54Mbps,397.807,3,80,800,30,7
11,OfdmRate54Mbps,431.717,3,80,800,30,7
12,OfdmRate54Mbps,459.711,3,80,800,30,7
13,OfdmRate54Mbps,498.497,3,80,800,30,7
0,OfdmRate6Mbps,62.0969,3,160,800,30,7
1,OfdmRate12Mbps,123.422,3,160,800,30,7
2,OfdmRate18Mbps,178.198,3,160,800,30,7
3,OfdmRate24Mbps,234.597,3,160,800,30,7
4,OfdmRate36Mbps,330.962,3,160,800,30,7
5,OfdmRate48Mbps,416.509,3,160,800,30,7
6,OfdmRate54Mbps,459.711,3,160,800,30,7
7,OfdmRate54Mbps,498.497,3,160,800,30,7
8,OfdmRate54Mbps,561.684,3,160,800,30,7
9,OfdmRate54Mbps,610.013,3,160,800,30,7
10,OfdmRate54Mbps,655.104,3,160,800,30,7
11,OfdmRate54Mbps,707.4,3,160,800,30,7
12,OfdmRate54Mbps,736.805,3,160,800,30,7
13,OfdmRate54Mbps,785.817,3,160,800,30,7
0,OfdmRate6Mbps,6.30107,3,20,3200,30,7
1,OfdmRate12Mbps,12.8389,3,20,3200,30,7
2,OfdmRate18Mbps,19.2853,3,20,3200,30,7
3,OfdmRate24Mbps,25.9755,3,20,3200,30,7
4,OfdmRate36Mbps,38.9113,3,20,3200,30,7
5,OfdmRate48Mbps,51.9224,3,20,3200,30,7
6,OfdmRate54Mbps,58.3596,3,20,3200,30,7
7,OfdmRate54Mbps,64.968,3,20,3200,30,7
8,OfdmRate54Mbps,77.939,3,20,3200,30,7
9,OfdmRate54Mbps,86.4898,3,20,3200,30,7
10,OfdmRate54Mbps,96.7666,3,20,3200,30,7
11,OfdmRate54Mbps,106.704,3,20,3200,30,7
12,OfdmRate54Mbps,114.834,3,20,3200,30,7
13,OfdmRate54Mbps,126.928,3,20,3200,30,7
0,OfdmRate6Mbps,12.5862,3,40,3200,30,7
1,OfdmRate12Mbps,25.7335,3,40,3200,30,7
2,OfdmRate18Mbps,38.5527,3,40,3200,30,7
3,OfdmRate24Mbps,51.9224,3,40,3200,30,7
4,OfdmRate36Mbps,77.939,3,40,3200,30,7
5,OfdmRate48Mbps,102.701,3,40,3200,30,7
6,OfdmRate54Mbps,114.834,3,40,3200,30,7
7,OfdmRate54Mbps,126.928,3,40,3200,30,7
8,OfdmRate54Mbps,150.364,3,40,3200,30,7
9,OfdmRate54Mbps,165.205,3,40,3200,30,7
10,OfdmRate54Mbps,184.419,3,40,3200,30,7
11,OfdmRate54Mbps,201.699,3,40,3200,30,7
12,OfdmRate54Mbps,216.172,3,40,3200,30,7
13,OfdmRate54Mbps,238.401,3,40,3200,30,7
0,OfdmRate6Mbps,26.3851,3,80,3200,30,7
1,OfdmRate12Mbps,53.729,3,80,3200,30,7
2,OfdmRate18Mbps,80.6902,3,80,3200,30,7
3,OfdmRate24Mbps,107.464,3,80,3200,30,7
4,OfdmRate36Mbps,156.619,3,80,3200,30,7
5,OfdmRate48Mbps,203.06,3,80,3200,30,7
6,OfdmRate54Mbps,225.892,3,80,3200,30,7
7,OfdmRate54Mbps,248.218,3,80,3200,30,7
8,OfdmRate54Mbps,288.638,3,80,3200,30,7
9,OfdmRate54Mbps,315.868,3,80,3200,30,7
10,OfdmRate54Mbps,348.779,3,80,3200,30,7
11,OfdmRate54Mbps,379.518,3,80,3200,30,7
12,OfdmRate54Mbps,405.024,3,80,3200,30,7
13,OfdmRate54Mbps,440.557,3,80,3200,30,7
0,OfdmRate6Mbps,52.7213,3,160,3200,30,7
1,OfdmRate12Mbps,106.138,3,160,3200,30,7
