MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,7.40421,3,20,30
1,15.1639,3,20,30
2,22.667,3,20,30
3,30.5922,3,20,30
4,45.8806,3,20,30
5,61.1676,3,20,30
6,68.8221,3,20,30
7,76.4551,3,20,30
8,91.3667,3,20,30
9,100.996,3,20,30
10,112.888,3,20,30
11,124.371,3,20,30
12,133.755,3,20,30
13,147.686,3,20,30
0,14.8828,3,40,30
1,30.3119,3,40,30
2,45.4603,3,40,30
3,61.1676,3,40,30
4,91.3667,3,40,30
5,119.753,3,40,30
6,133.755,3,40,30
7,147.686,3,40,30
8,174.584,3,40,30
9,191.563,3,40,30
10,213.471,3,40,30
11,233.119,3,40,30
12,249.521,3,40,30
13,274.649,3,40,30
0,31.0817,3,80,30
1,63.2917,3,80,30
2,94.5783,3,80,30
3,125.248,3,80,30
4,181.742,3,80,30
5,234.665,3,80,30
6,260.527,3,80,30
7,285.708,3,80,30
8,331.06,3,80,30
9,361.423,3,80,30
10,397.924,3,80,30
11,431.843,3,80,30
12,459.838,3,80,30
13,498.64,3,80,30
0,62.1151,3,160,30
1,123.457,3,160,30
2,178.251,3,160,30
3,234.665,3,160,30
4,331.06,3,160,30
5,416.626,3,160,30
6,459.838,3,160,30
7,498.64,3,160,30
8,561.851,3,160,30
9,610.186,3,160,30
10,655.29,3,160,30
11,707.598,3,160,30
12,737.016,3,160,30
13,0.0183009,3,160,30
