MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,ErpOfdmRate6Mbps,7.49008,3,20,800,30,1
1,ErpOfdmRate12Mbps,15.1407,3,20,800,30,1
2,ErpOfdmRate18Mbps,22.6396,3,20,800,30,1
3,ErpOfdmRate24Mbps,30.3778,3,20,800,30,1
4,ErpOfdmRate36Mbps,45.5615,3,20,800,30,1
5,ErpOfdmRate48Mbps,60.7459,3,20,800,30,1
6,ErpOfdmRate54Mbps,68.3429,3,20,800,30,1
7,ErpOfdmRate54Mbps,75.929,3,20,800,30,1
8,ErpOfdmRate54Mbps,90.7745,3,20,800,30,1
9,ErpOfdmRate54Mbps,100.409,3,20,800,30,1
10,ErpOfdmRate54Mbps,112.341,3,20,800,30,1
