Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0.0,0,2.4,40,44,20
88.3014,1,2.4,40,44,20
147.758,5,2.4,40,44,20
267.162,10,2.4,40,44,20
330.215,15,2.4,40,44,20
415.591,20,2.4,40,44,20
479.721,25,2.4,40,44,20
707.08,30,2.4,40,44,20
778.137,35,2.4,40,44,20
900.579,40,2.4,40,44,20
1081.71,45,2.4,40,44,20
899.994,50,2.4,40,44,20
968.92,55,2.4,40,44,20
993.108,60,2.4,40,44,20
0.0,0,5.0,160,44,20
46.0266,1,5.0,160,44,20
58.7207,5,5.0,160,44,20
134.066,10,5.0,160,44,20
118.405,15,5.0,160,44,20
176.421,20,5.0,160,44,20
230.547,25,5.0,160,44,20
239.892,30,5.0,160,44,20
409.359,35,5.0,160,44,20
402.996,40,5.0,160,44,20
470.105,45,5.0,160,44,20
442.128,50,5.0,160,44,20
442.328,55,5.0,160,44,20
495.931,60,5.0,160,44,20
0.0,0,6.0,160,44,20
0.0,1,6.0,160,44,20
126.847,5,6.0,160,44,20
99.6194,10,6.0,160,44,20
91.1767,15,6.0,160,44,20
149.352,20,6.0,160,44,20
165.75,25,6.0,160,44,20
226.73,30,6.0,160,44,20
281.594,35,6.0,160,44,20
337.087,40,6.0,160,44,20
394.231,45,6.0,160,44,20
358.121,50,6.0,160,44,20
368.987,55,6.0,160,44,20
352.644,60,6.0,160,44,20
