Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3165,1,2.4,40,46,20
164.369,5,2.4,40,46,20
224.742,10,2.4,40,46,20
355.186,15,2.4,40,46,20
412.279,20,2.4,40,46,20
607.889,25,2.4,40,46,20
566.504,30,2.4,40,46,20
788.225,35,2.4,40,46,20
824.036,40,2.4,40,46,20
972.329,45,2.4,40,46,20
735.385,50,2.4,40,46,20
934.145,55,2.4,40,46,20
966.118,60,2.4,40,46,20
88.1354,1,5.0,160,46,20
121.735,5,5.0,160,46,20
239.28,10,5.0,160,46,20
122.043,15,5.0,160,46,20
188.088,20,5.0,160,46,20
228.885,25,5.0,160,46,20
211.524,30,5.0,160,46,20
370.254,35,5.0,160,46,20
350.183,40,5.0,160,46,20
483.059,45,5.0,160,46,20
402.383,50,5.0,160,46,20
