Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.155,1,2.4,40,6,20
712.293,5,2.4,40,6,20
562.018,10,2.4,40,6,20
1187.07,15,2.4,40,6,20
1544.44,20,2.4,40,6,20
1965.02,25,2.4,40,6,20
1881.49,30,2.4,40,6,20
2111.56,35,2.4,40,6,20
2598.31,40,2.4,40,6,20
2323.52,45,2.4,40,6,20
3214.72,50,2.4,40,6,20
3683.78,55,2.4,40,6,20
3222.92,60,2.4,40,6,20
3900.49,65,2.4,40,6,20
3829.64,70,2.4,40,6,20
3806.34,75,2.4,40,6,20
4120.72,80,2.4,40,6,20
5588.98,85,2.4,40,6,20
4601.2,90,2.4,40,6,20
5129.02,95,2.4,40,6,20
4606.79,100,2.4,40,6,20
5490.03,105,2.4,40,6,20
4975.89,110,2.4,40,6,20
6362.27,115,2.4,40,6,20
5180.02,120,2.4,40,6,20
6141.72,125,2.4,40,6,20
5289.01,130,2.4,40,6,20
8181.88,135,2.4,40,6,20
8744.01,140,2.4,40,6,20
10157.2,145,2.4,40,6,20
9900.16,150,2.4,40,6,20
