Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
167.125,1,2.4,40,3,20
711.455,5,2.4,40,3,20
561.958,10,2.4,40,3,20
1254.94,15,2.4,40,3,20
1516.16,20,2.4,40,3,20
1973.86,25,2.4,40,3,20
1669.21,30,2.4,40,3,20
2016.35,35,2.4,40,3,20
2745.36,40,2.4,40,3,20
2348.81,45,2.4,40,3,20
3389.48,50,2.4,40,3,20
3849.62,55,2.4,40,3,20
3591.41,60,2.4,40,3,20
3812.52,65,2.4,40,3,20
3742.58,70,2.4,40,3,20
3569.76,75,2.4,40,3,20
4447.06,80,2.4,40,3,20
5862.47,85,2.4,40,3,20
4422.13,90,2.4,40,3,20
5248.16,95,2.4,40,3,20
4255.68,100,2.4,40,3,20
5463.56,105,2.4,40,3,20
5184.62,110,2.4,40,3,20
6629.05,115,2.4,40,3,20
5225.47,120,2.4,40,3,20
6022.61,125,2.4,40,3,20
5144.56,130,2.4,40,3,20
7887.68,135,2.4,40,3,20
8373.4,140,2.4,40,3,20
8772.4,145,2.4,40,3,20
9637.74,150,2.4,40,3,20
7907.4,155,2.4,40,3,20
319.579,1,5,160,3,20
861.205,5,5,160,3,20
678.539,10,5,160,3,20
1286.03,15,5,160,3,20
1709.62,20,5,160,3,20
1744.5,25,5,160,3,20
1756.97,30,5,160,3,20
1968.94,35,5,160,3,20
2525.62,40,5,160,3,20
2232.23,45,5,160,3,20
2931.94,50,5,160,3,20
3432.87,55,5,160,3,20
3521.85,60,5,160,3,20
3620.58,65,5,160,3,20
3616.65,70,5,160,3,20
3245.2,75,5,160,3,20
3887.21,80,5,160,3,20
3991.88,85,5,160,3,20
3206.31,90,5,160,3,20
5407.67,95,5,160,3,20
4058.95,100,5,160,3,20
6151.56,105,5,160,3,20
5471.26,110,5,160,3,20
5430.28,115,5,160,3,20
4799.45,120,5,160,3,20
6300.03,125,5,160,3,20
6309.68,130,5,160,3,20
6784.75,135,5,160,3,20
8851.91,140,5,160,3,20
6829.43,145,5,160,3,20
7969.54,150,5,160,3,20
5367.25,155,5,160,3,20
282.613,1,6,160,3,20
785.93,5,6,160,3,20
665.655,10,6,160,3,20
1276.7,15,6,160,3,20
1586.13,20,6,160,3,20
1331.52,25,6,160,3,20
1666.56,30,6,160,3,20
2196.76,35,6,160,3,20
2239.09,40,6,160,3,20
2344.07,45,6,160,3,20
2902.36,50,6,160,3,20
3887.27,55,6,160,3,20
2354.72,60,6,160,3,20
3008.33,65,6,160,3,20
3295.05,70,6,160,3,20
2815.42,75,6,160,3,20
3604.9,80,6,160,3,20
3586.07,85,6,160,3,20
2969.63,90,6,160,3,20
4304.23,95,6,160,3,20
3773.78,100,6,160,3,20
5937.02,105,6,160,3,20
4951.85,110,6,160,3,20
3949.68,115,6,160,3,20
5089.29,120,6,160,3,20
5445.58,125,6,160,3,20
6451.26,130,6,160,3,20
5020.84,135,6,160,3,20
6214.25,140,6,160,3,20
6467.87,145,6,160,3,20
6843.64,150,6,160,3,20
5896.79,155,6,160,3,20
