Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0.0,0,2.4,40,40,20
88.3111,1,2.4,40,40,20
194.849,5,2.4,40,40,20
218.082,10,2.4,40,40,20
362.385,15,2.4,40,40,20
347.284,20,2.4,40,40,20
489.932,25,2.4,40,40,20
535.547,30,2.4,40,40,20
796.906,35,2.4,40,40,20
776.864,40,2.4,40,40,20
984.976,45,2.4,40,40,20
937.506,50,2.4,40,40,20
756.45,55,2.4,40,40,20
1147.59,60,2.4,40,40,20
0.0,0,5.0,160,40,20
0.0,1,5.0,160,40,20
146.979,5,5.0,160,40,20
385.268,10,5.0,160,40,20
117.395,15,5.0,160,40,20
237.784,20,5.0,160,40,20
202.749,25,5.0,160,40,20
322.865,30,5.0,160,40,20
389.037,35,5.0,160,40,20
332.498,40,5.0,160,40,20
464.527,45,5.0,160,40,20
482.555,50,5.0,160,40,20
439.49,55,5.0,160,40,20
565.763,60,5.0,160,40,20
0.0,0,6.0,160,40,20
0.0,1,6.0,160,40,20
142.09,5,6.0,160,40,20
273.51,10,6.0,160,40,20
113.567,15,6.0,160,40,20
167.703,20,6.0,160,40,20
174.747,25,6.0,160,40,20
238.269,30,6.0,160,40,20
319.398,35,6.0,160,40,20
192.493,40,6.0,160,40,20
343.208,45,6.0,160,40,20
463.252,50,6.0,160,40,20
314.511,55,6.0,160,40,20
469.689,60,6.0,160,40,20
