Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3539,1,2.4,40,48,20
167.843,5,2.4,40,48,20
255.704,10,2.4,40,48,20
325.362,15,2.4,40,48,20
359.592,20,2.4,40,48,20
448.168,25,2.4,40,48,20
543.834,30,2.4,40,48,20
796.555,35,2.4,40,48,20
883.647,40,2.4,40,48,20
1080.89,45,2.4,40,48,20
783.657,50,2.4,40,48,20
800.639,55,2.4,40,48,20
1147.02,60,2.4,40,48,20
46.0575,1,5.0,160,48,20
110.031,5,5.0,160,48,20
165.629,10,5.0,160,48,20
120.868,15,5.0,160,48,20
130.53,20,5.0,160,48,20
215.966,25,5.0,160,48,20
221.927,30,5.0,160,48,20
377.165,35,5.0,160,48,20
427.228,40,5.0,160,48,20
418.258,45,5.0,160,48,20
