Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.6093,1,2.4,40,42,20
219.676,10,2.4,40,42,20
323.654,15,2.4,40,42,20
434.94,20,2.4,40,42,20
438.295,25,2.4,40,42,20
594.664,30,2.4,40,42,20
784.138,35,2.4,40,42,20
747.282,40,2.4,40,42,20
1258.41,45,2.4,40,42,20
568.774,50,2.4,40,42,20
708.942,55,2.4,40,42,20
908.306,60,2.4,40,42,20
968.944,65,2.4,40,42,20
1429.12,75,2.4,40,42,20
1501.84,85,2.4,40,42,20
1495.48,95,2.4,40,42,20
89.0795,1,5.0,160,42,20
75.6693,5,5.0,160,42,20
85.5165,10,5.0,160,42,20
