Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.334,1,2.4,40,8,20
702.589,5,2.4,40,8,20
559.236,10,2.4,40,8,20
1197.19,15,2.4,40,8,20
1515.39,20,2.4,40,8,20
1887.72,25,2.4,40,8,20
1782.31,30,2.4,40,8,20
2087.17,35,2.4,40,8,20
2772.21,40,2.4,40,8,20
2271.84,45,2.4,40,8,20
3255.05,50,2.4,40,8,20
4247.14,55,2.4,40,8,20
3641.88,60,2.4,40,8,20
3648.98,65,2.4,40,8,20
3487.84,70,2.4,40,8,20
3496.44,75,2.4,40,8,20
4150.48,80,2.4,40,8,20
5533.42,85,2.4,40,8,20
5165.9,90,2.4,40,8,20
4939.02,95,2.4,40,8,20
4111.81,100,2.4,40,8,20
5231.95,105,2.4,40,8,20
4745.24,110,2.4,40,8,20
6277.39,115,2.4,40,8,20
5073.18,120,2.4,40,8,20
6817.42,125,2.4,40,8,20
5995,130,2.4,40,8,20
7572.96,135,2.4,40,8,20
8045.67,140,2.4,40,8,20
9291.52,145,2.4,40,8,20
10619.5,150,2.4,40,8,20
