Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.5628,1,2.4,40,47,20
170.652,5,2.4,40,47,20
219.813,10,2.4,40,47,20
257.202,15,2.4,40,47,20
473.847,20,2.4,40,47,20
457.718,25,2.4,40,47,20
625.538,30,2.4,40,47,20
801.093,35,2.4,40,47,20
687.753,40,2.4,40,47,20
1218.5,45,2.4,40,47,20
700.499,50,2.4,40,47,20
877.42,55,2.4,40,47,20
1017.04,60,2.4,40,47,20
44.7287,1,5.0,160,47,20
79.2753,5,5.0,160,47,20
79.6237,10,5.0,160,47,20
87.3957,15,5.0,160,47,20
108.723,20,5.0,160,47,20
183.345,25,5.0,160,47,20
232.551,30,5.0,160,47,20
401.069,35,5.0,160,47,20
226.53,40,5.0,160,47,20
