Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,SimulationTime(s)
164.412,1,2.4,40,7,20
705.213,5,2.4,40,7,20
554.954,10,2.4,40,7,20
1418.52,15,2.4,40,7,20
1503.41,20,2.4,40,7,20
2097.34,25,2.4,40,7,20
1640.31,30,2.4,40,7,20
2088.22,35,2.4,40,7,20
2584.35,40,2.4,40,7,20
2122.39,45,2.4,40,7,20
3050.87,50,2.4,40,7,20
3797.34,55,2.4,40,7,20
3513.21,60,2.4,40,7,20
4157.27,65,2.4,40,7,20
3322.09,70,2.4,40,7,20
3636.1,75,2.4,40,7,20
4008.93,80,2.4,40,7,20
5527.73,85,2.4,40,7,20
4569.95,90,2.4,40,7,20
5007.06,95,2.4,40,7,20
3916.07,100,2.4,40,7,20
5157.6,105,2.4,40,7,20
4708.93,110,2.4,40,7,20
6257.89,115,2.4,40,7,20
4981.75,120,2.4,40,7,20
5964.77,125,2.4,40,7,20
5182.27,130,2.4,40,7,20
6722.88,135,2.4,40,7,20
8695.88,140,2.4,40,7,20
9521.77,145,2.4,40,7,20
10189.8,150,2.4,40,7,20
8870.44,155,2.4,40,7,20
272.768,1,5,160,7,20
729.996,5,5,160,7,20
683.805,10,5,160,7,20
1216.24,15,5,160,7,20
1518.21,20,5,160,7,20
1789.95,25,5,160,7,20
1477.88,30,5,160,7,20
1947.31,35,5,160,7,20
2499.22,40,5,160,7,20
2226.58,45,5,160,7,20
2771.38,50,5,160,7,20
3624.3,55,5,160,7,20
3639.24,60,5,160,7,20
3019.29,65,5,160,7,20
3276.32,70,5,160,7,20
3306.36,75,5,160,7,20
3709.29,80,5,160,7,20
4989.65,85,5,160,7,20
3601.17,90,5,160,7,20
4559.26,95,5,160,7,20
3647.96,100,5,160,7,20
5489.83,105,5,160,7,20
5473.71,110,5,160,7,20
5665.25,115,5,160,7,20
4823.69,120,5,160,7,20
5617.96,125,5,160,7,20
5209.18,130,5,160,7,20
7194.72,135,5,160,7,20
7934.88,140,5,160,7,20
4751.39,155,5,160,7,20
272.713,1,6,160,7,20
709.948,5,6,160,7,20
706.627,10,6,160,7,20
1138.69,15,6,160,7,20
1445.73,20,6,160,7,20
1665.56,25,6,160,7,20
1246.81,30,6,160,7,20
2127.96,35,6,160,7,20
2436.55,40,6,160,7,20
2431,45,6,160,7,20
2400.33,50,6,160,7,20
2965.23,55,6,160,7,20
2275.12,60,6,160,7,20
2550.4,65,6,160,7,20
2275.27,70,6,160,7,20
2612.04,75,6,160,7,20
3873.56,80,6,160,7,20
3315.7,85,6,160,7,20
3592.29,90,6,160,7,20
4320.5,95,6,160,7,20
3786.17,100,6,160,7,20
4851.02,105,6,160,7,20
5476.9,110,6,160,7,20
4303.13,115,6,160,7,20
4547.04,120,6,160,7,20
5215.72,125,6,160,7,20
5029.43,130,6,160,7,20
6302.96,135,6,160,7,20
6969.36,140,6,160,7,20
4295.09,155,6,160,7,20
