Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
87.5714,1,2.4,40,40,20
169.243,3,2.4,40,40,20
191.499,5,2.4,40,40,20
266.287,7,2.4,40,40,20
296.244,9,2.4,40,40,20
258.337,11,2.4,40,40,20
397.211,13,2.4,40,40,20
524.284,15,2.4,40,40,20
298.655,17,2.4,40,40,20
262.811,19,2.4,40,40,20
556.248,21,2.4,40,40,20
347.324,23,2.4,40,40,20
461.107,25,2.4,40,40,20
415.97,27,2.4,40,40,20
458.93,29,2.4,40,40,20
689.704,31,2.4,40,40,20
811.241,33,2.4,40,40,20
717.654,35,2.4,40,40,20
643.471,37,2.4,40,40,20
525.452,39,2.4,40,40,20
862.175,41,2.4,40,40,20
858.502,43,2.4,40,40,20
1288.13,45,2.4,40,40,20
662.008,47,2.4,40,40,20
704.157,49,2.4,40,40,20
808.34,51,2.4,40,40,20
857.938,53,2.4,40,40,20
691.671,55,2.4,40,40,20
974.659,57,2.4,40,40,20
1231.08,59,2.4,40,40,20
856.544,61,2.4,40,40,20
1019.83,63,2.4,40,40,20
1090.31,65,2.4,40,40,20
909.207,67,2.4,40,40,20
1270.41,69,2.4,40,40,20
1241.76,71,2.4,40,40,20
1337.61,73,2.4,40,40,20
1589.5,75,2.4,40,40,20
1237.31,77,2.4,40,40,20
2203.62,79,2.4,40,40,20
1481.23,81,2.4,40,40,20
1274.77,83,2.4,40,40,20
1339.29,85,2.4,40,40,20
1351.65,87,2.4,40,40,20
1364.38,89,2.4,40,40,20
1972.09,91,2.4,40,40,20
1904.86,93,2.4,40,40,20
1621.36,95,2.4,40,40,20
1468.31,97,2.4,40,40,20
1344.6,99,2.4,40,40,20
1227.16,101,2.4,40,40,20
0,1,5,160,40,20
39.0046,2,5,160,40,20
91.0798,3,5,160,40,20
105.455,4,5,160,40,20
73.697,5,5,160,40,20
50.2311,6,5,160,40,20
39.8363,7,5,160,40,20
107.706,8,5,160,40,20
85.2625,9,5,160,40,20
188.836,10,5,160,40,20
142.2,11,5,160,40,20
71.6082,12,5,160,40,20
86.2707,13,5,160,40,20
136.696,14,5,160,40,20
