Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
0,0,3,2.4,40,20
121.408,200,3,2.4,40,20
147.555,400,3,2.4,40,20
162.212,600,3,2.4,40,20
170.246,800,3,2.4,40,20
176.224,1000,3,2.4,40,20
182.009,1200,3,2.4,40,20
185.393,1400,3,2.4,40,20
188.769,1600,3,2.4,40,20
190.387,1800,3,2.4,40,20
162.538,2000,3,2.4,40,20
160.618,2200,3,2.4,40,20
169.642,2400,3,2.4,40,20
177.461,2600,3,2.4,40,20
182.185,2800,3,2.4,40,20
184.87,3000,3,2.4,40,20
187.102,3200,3,2.4,40,20
189.883,3400,3,2.4,40,20
190.907,3600,3,2.4,40,20
191.942,3800,3,2.4,40,20
184.447,4000,3,2.4,40,20
186.112,4200,3,2.4,40,20
187.125,4400,3,2.4,40,20
188.428,4600,3,2.4,40,20
188.872,4800,3,2.4,40,20
190.274,5000,3,2.4,40,20
190.603,5200,3,2.4,40,20
191.022,5400,3,2.4,40,20
191.903,5600,3,2.4,40,20
192.553,5800,3,2.4,40,20
188.578,6000,3,2.4,40,20
189.709,6200,3,2.4,40,20
189.481,6400,3,2.4,40,20
190.201,6600,3,2.4,40,20
190.311,6800,3,2.4,40,20
190.939,7000,3,2.4,40,20
191.149,7200,3,2.4,40,20
191.701,7400,3,2.4,40,20
192.437,7600,3,2.4,40,20
192.315,7800,3,2.4,40,20
189.909,8000,3,2.4,40,20
189.642,8200,3,2.4,40,20
190.356,8400,3,2.4,40,20
190.584,8600,3,2.4,40,20
190.747,8800,3,2.4,40,20
191.732,9000,3,2.4,40,20
191.851,9200,3,2.4,40,20
191.907,9400,3,2.4,40,20
192.295,9600,3,2.4,40,20
192.646,9800,3,2.4,40,20
190.856,10000,3,2.4,40,20
0,0,3,5,160,20
229.665,200,3,5,160,20
345.045,400,3,5,160,20
414.955,600,3,5,160,20
460.46,800,3,5,160,20
492.825,1000,3,5,160,20
515.757,1200,3,5,160,20
535.245,1400,3,5,160,20
552.76,1600,3,5,160,20
561.544,1800,3,5,160,20
376.737,2000,3,5,160,20
368.625,2200,3,5,160,20
452.667,2400,3,5,160,20
492.552,2600,3,5,160,20
518.219,2800,3,5,160,20
533.95,3000,3,5,160,20
548.06,3200,3,5,160,20
556.147,3400,3,5,160,20
563.279,3600,3,5,160,20
568.062,3800,3,5,160,20
531.138,4000,3,5,160,20
540.599,4200,3,5,160,20
546.658,4400,3,5,160,20
550.971,4600,3,5,160,20
554.426,4800,3,5,160,20
559.586,5000,3,5,160,20
561.904,5200,3,5,160,20
565.065,5400,3,5,160,20
565.299,5600,3,5,160,20
569.376,5800,3,5,160,20
554.358,6000,3,5,160,20
555.424,6200,3,5,160,20
555.839,6400,3,5,160,20
559.642,6600,3,5,160,20
560.486,6800,3,5,160,20
566.503,7000,3,5,160,20
570.614,7200,3,5,160,20
564.212,7400,3,5,160,20
571.734,7600,3,5,160,20
570.766,7800,3,5,160,20
559.119,8000,3,5,160,20
558.373,8200,3,5,160,20
561.273,8400,3,5,160,20
564.765,8600,3,5,160,20
566.618,8800,3,5,160,20
570.23,9000,3,5,160,20
569.993,9200,3,5,160,20
566.591,9400,3,5,160,20
569.804,9600,3,5,160,20
570.34,9800,3,5,160,20
565.267,10000,3,5,160,20
0,0,3,6,160,20
229.665,200,3,6,160,20
345.045,400,3,6,160,20
414.955,600,3,6,160,20
460.46,800,3,6,160,20
492.825,1000,3,6,160,20
515.757,1200,3,6,160,20
535.245,1400,3,6,160,20
552.76,1600,3,6,160,20
561.544,1800,3,6,160,20
376.737,2000,3,6,160,20
368.625,2200,3,6,160,20
452.667,2400,3,6,160,20
492.552,2600,3,6,160,20
518.219,2800,3,6,160,20
533.95,3000,3,6,160,20
548.06,3200,3,6,160,20
556.147,3400,3,6,160,20
563.279,3600,3,6,160,20
568.062,3800,3,6,160,20
531.138,4000,3,6,160,20
540.599,4200,3,6,160,20
546.658,4400,3,6,160,20
550.971,4600,3,6,160,20
554.426,4800,3,6,160,20
559.586,5000,3,6,160,20
561.904,5200,3,6,160,20
565.065,5400,3,6,160,20
565.299,5600,3,6,160,20
569.376,5800,3,6,160,20
554.358,6000,3,6,160,20
555.424,6200,3,6,160,20
555.839,6400,3,6,160,20
559.642,6600,3,6,160,20
560.486,6800,3,6,160,20
566.503,7000,3,6,160,20
570.614,7200,3,6,160,20
564.212,7400,3,6,160,20
571.734,7600,3,6,160,20
570.766,7800,3,6,160,20
559.119,8000,3,6,160,20
558.373,8200,3,6,160,20
561.273,8400,3,6,160,20
564.765,8600,3,6,160,20
566.618,8800,3,6,160,20
570.23,9000,3,6,160,20
569.993,9200,3,6,160,20
566.591,9400,3,6,160,20
569.804,9600,3,6,160,20
570.34,9800,3,6,160,20
565.267,10000,3,6,160,20
