Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
119.635,200,3,2.4,40,20
145.002,400,3,2.4,40,20
158.971,600,3,2.4,40,20
167.352,800,3,2.4,40,20
173.555,1000,3,2.4,40,20
179.012,1200,3,2.4,40,20
182.242,1400,3,2.4,40,20
185.25,1600,3,2.4,40,20
187.245,1800,3,2.4,40,20
145.608,2000,3,2.4,40,20
152.429,2200,3,2.4,40,20
166.34,2400,3,2.4,40,20
174.275,2600,3,2.4,40,20
178.955,2800,3,2.4,40,20
181.612,3000,3,2.4,40,20
184.075,3200,3,2.4,40,20
186.583,3400,3,2.4,40,20
187.214,3600,3,2.4,40,20
188.734,3800,3,2.4,40,20
181.084,4000,3,2.4,40,20
182.873,4200,3,2.4,40,20
183.221,4400,3,2.4,40,20
185.133,4600,3,2.4,40,20
185.688,4800,3,2.4,40,20
187.068,5000,3,2.4,40,20
187.222,5200,3,2.4,40,20
187.676,5400,3,2.4,40,20
188.568,5600,3,2.4,40,20
189.311,5800,3,2.4,40,20
185.563,6000,3,2.4,40,20
186.622,6200,3,2.4,40,20
186.051,6400,3,2.4,40,20
186.992,6600,3,2.4,40,20
187.186,6800,3,2.4,40,20
187.889,7000,3,2.4,40,20
187.922,7200,3,2.4,40,20
188.602,7400,3,2.4,40,20
189.381,7600,3,2.4,40,20
189.193,7800,3,2.4,40,20
186.649,8000,3,2.4,40,20
186.271,8200,3,2.4,40,20
187.113,8400,3,2.4,40,20
187.416,8600,3,2.4,40,20
187.639,8800,3,2.4,40,20
188.162,9000,3,2.4,40,20
188.625,9200,3,2.4,40,20
188.701,9400,3,2.4,40,20
188.997,9600,3,2.4,40,20
189.433,9800,3,2.4,40,20
187.519,10000,3,2.4,40,20
122.406,200,3,5,40,20
148.297,400,3,5,40,20
162.223,600,3,5,40,20
170.649,800,3,5,40,20
176.749,1000,3,5,40,20
182.182,1200,3,5,40,20
185.906,1400,3,5,40,20
188.637,1600,3,5,40,20
190.668,1800,3,5,40,20
148.285,2000,3,5,40,20
155.956,2200,3,5,40,20
169.954,2400,3,5,40,20
177.708,2600,3,5,40,20
182.266,2800,3,5,40,20
184.932,3000,3,5,40,20
187.211,3200,3,5,40,20
190,3400,3,5,40,20
190.918,3600,3,5,40,20
191.931,3800,3,5,40,20
184.73,4000,3,5,40,20
186.776,4200,3,5,40,20
187.245,4400,3,5,40,20
188.09,4600,3,5,40,20
188.895,4800,3,5,40,20
190.202,5000,3,5,40,20
190.766,5200,3,5,40,20
191.376,5400,3,5,40,20
192.262,5600,3,5,40,20
192.943,5800,3,5,40,20
188.814,6000,3,5,40,20
189.942,6200,3,5,40,20
189.407,6400,3,5,40,20
190.204,6600,3,5,40,20
190.764,6800,3,5,40,20
191.398,7000,3,5,40,20
191.588,7200,3,5,40,20
192.151,7400,3,5,40,20
192.945,7600,3,5,40,20
192.532,7800,3,5,40,20
189.69,8000,3,5,40,20
189.918,8200,3,5,40,20
190.49,8400,3,5,40,20
191.059,8600,3,5,40,20
191.153,8800,3,5,40,20
192.192,9000,3,5,40,20
192.022,9200,3,5,40,20
192.003,9400,3,5,40,20
192.452,9600,3,5,40,20
192.801,9800,3,5,40,20
190.899,10000,3,5,40,20
122.406,200,3,6,40,20
148.297,400,3,6,40,20
162.223,600,3,6,40,20
170.649,800,3,6,40,20
176.749,1000,3,6,40,20
182.182,1200,3,6,40,20
185.906,1400,3,6,40,20
188.637,1600,3,6,40,20
190.668,1800,3,6,40,20
148.285,2000,3,6,40,20
155.956,2200,3,6,40,20
169.954,2400,3,6,40,20
177.708,2600,3,6,40,20
182.266,2800,3,6,40,20
184.932,3000,3,6,40,20
187.211,3200,3,6,40,20
190,3400,3,6,40,20
190.918,3600,3,6,40,20
191.931,3800,3,6,40,20
184.73,4000,3,6,40,20
186.776,4200,3,6,40,20
187.245,4400,3,6,40,20
188.09,4600,3,6,40,20
188.895,4800,3,6,40,20
190.202,5000,3,6,40,20
190.766,5200,3,6,40,20
191.376,5400,3,6,40,20
192.262,5600,3,6,40,20
192.943,5800,3,6,40,20
188.814,6000,3,6,40,20
189.942,6200,3,6,40,20
189.407,6400,3,6,40,20
190.204,6600,3,6,40,20
190.764,6800,3,6,40,20
191.398,7000,3,6,40,20
191.588,7200,3,6,40,20
192.151,7400,3,6,40,20
192.945,7600,3,6,40,20
192.532,7800,3,6,40,20
189.69,8000,3,6,40,20
189.918,8200,3,6,40,20
190.49,8400,3,6,40,20
191.059,8600,3,6,40,20
191.153,8800,3,6,40,20
192.192,9000,3,6,40,20
192.022,9200,3,6,40,20
192.003,9400,3,6,40,20
192.452,9600,3,6,40,20
192.801,9800,3,6,40,20
190.899,10000,3,6,40,20
