Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
0,0,3,2.4,40,20
119.635,200,3,2.4,40,20
145.002,400,3,2.4,40,20
158.971,600,3,2.4,40,20
167.352,800,3,2.4,40,20
173.555,1000,3,2.4,40,20
179.012,1200,3,2.4,40,20
182.242,1400,3,2.4,40,20
185.25,1600,3,2.4,40,20
187.245,1800,3,2.4,40,20
145.608,2000,3,2.4,40,20
152.429,2200,3,2.4,40,20
166.34,2400,3,2.4,40,20
174.275,2600,3,2.4,40,20
178.955,2800,3,2.4,40,20
181.612,3000,3,2.4,40,20
184.075,3200,3,2.4,40,20
186.583,3400,3,2.4,40,20
187.214,3600,3,2.4,40,20
188.734,3800,3,2.4,40,20
181.084,4000,3,2.4,40,20
182.873,4200,3,2.4,40,20
183.221,4400,3,2.4,40,20
185.133,4600,3,2.4,40,20
185.688,4800,3,2.4,40,20
187.068,5000,3,2.4,40,20
187.222,5200,3,2.4,40,20
187.676,5400,3,2.4,40,20
188.568,5600,3,2.4,40,20
189.311,5800,3,2.4,40,20
185.563,6000,3,2.4,40,20
186.622,6200,3,2.4,40,20
186.051,6400,3,2.4,40,20
186.992,6600,3,2.4,40,20
187.186,6800,3,2.4,40,20
187.889,7000,3,2.4,40,20
187.922,7200,3,2.4,40,20
188.602,7400,3,2.4,40,20
189.381,7600,3,2.4,40,20
189.193,7800,3,2.4,40,20
186.649,8000,3,2.4,40,20
186.271,8200,3,2.4,40,20
187.113,8400,3,2.4,40,20
187.416,8600,3,2.4,40,20
187.639,8800,3,2.4,40,20
188.162,9000,3,2.4,40,20
188.625,9200,3,2.4,40,20
188.701,9400,3,2.4,40,20
188.997,9600,3,2.4,40,20
189.433,9800,3,2.4,40,20
187.519,10000,3,2.4,40,20
0,0,3,5,160,20
221.624,200,3,5,160,20
332.165,400,3,5,160,20
397.105,600,3,5,160,20
439.866,800,3,5,160,20
471.355,1000,3,5,160,20
493.374,1200,3,5,160,20
510.994,1400,3,5,160,20
527.894,1600,3,5,160,20
535.977,1800,3,5,160,20
172.694,2000,3,5,160,20
347.758,2200,3,5,160,20
429.77,2400,3,5,160,20
470.114,2600,3,5,160,20
493.265,2800,3,5,160,20
509.16,3000,3,5,160,20
522.372,3200,3,5,160,20
530.42,3400,3,5,160,20
534.665,3600,3,5,160,20
542.079,3800,3,5,160,20
507.81,4000,3,5,160,20
515.089,4200,3,5,160,20
517.617,4400,3,5,160,20
524.581,4600,3,5,160,20
528.653,4800,3,5,160,20
534.583,5000,3,5,160,20
535.881,5200,3,5,160,20
538.32,5400,3,5,160,20
539.631,5600,3,5,160,20
542.874,5800,3,5,160,20
525.565,6000,3,5,160,20
530.866,6200,3,5,160,20
530.668,6400,3,5,160,20
532.059,6600,3,5,160,20
533.752,6800,3,5,160,20
539.249,7000,3,5,160,20
540.476,7200,3,5,160,20
539.539,7400,3,5,160,20
542.209,7600,3,5,160,20
543.354,7800,3,5,160,20
534.203,8000,3,5,160,20
534.242,8200,3,5,160,20
534.896,8400,3,5,160,20
538.999,8600,3,5,160,20
539.144,8800,3,5,160,20
544.497,9000,3,5,160,20
540.762,9200,3,5,160,20
543.707,9400,3,5,160,20
544.737,9600,3,5,160,20
545.063,9800,3,5,160,20
536.492,10000,3,5,160,20
0,0,3,6,160,20
221.624,200,3,6,160,20
332.165,400,3,6,160,20
397.105,600,3,6,160,20
439.866,800,3,6,160,20
471.355,1000,3,6,160,20
493.374,1200,3,6,160,20
510.994,1400,3,6,160,20
527.894,1600,3,6,160,20
535.977,1800,3,6,160,20
172.694,2000,3,6,160,20
347.758,2200,3,6,160,20
429.77,2400,3,6,160,20
470.114,2600,3,6,160,20
493.265,2800,3,6,160,20
509.16,3000,3,6,160,20
522.372,3200,3,6,160,20
530.42,3400,3,6,160,20
534.665,3600,3,6,160,20
542.079,3800,3,6,160,20
507.81,4000,3,6,160,20
515.089,4200,3,6,160,20
517.617,4400,3,6,160,20
524.581,4600,3,6,160,20
528.653,4800,3,6,160,20
534.583,5000,3,6,160,20
535.881,5200,3,6,160,20
538.32,5400,3,6,160,20
539.631,5600,3,6,160,20
542.874,5800,3,6,160,20
525.565,6000,3,6,160,20
530.866,6200,3,6,160,20
530.668,6400,3,6,160,20
532.059,6600,3,6,160,20
533.752,6800,3,6,160,20
539.249,7000,3,6,160,20
540.476,7200,3,6,160,20
539.539,7400,3,6,160,20
542.209,7600,3,6,160,20
543.354,7800,3,6,160,20
534.203,8000,3,6,160,20
534.242,8200,3,6,160,20
534.896,8400,3,6,160,20
538.999,8600,3,6,160,20
539.144,8800,3,6,160,20
544.497,9000,3,6,160,20
540.762,9200,3,6,160,20
543.707,9400,3,6,160,20
544.737,9600,3,6,160,20
545.063,9800,3,6,160,20
536.492,10000,3,6,160,20
