Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
121.408,200,3,2.4,40,20
147.555,400,3,2.4,40,20
162.212,600,3,2.4,40,20
170.246,800,3,2.4,40,20
176.224,1000,3,2.4,40,20
182.009,1200,3,2.4,40,20
185.393,1400,3,2.4,40,20
188.769,1600,3,2.4,40,20
190.387,1800,3,2.4,40,20
0.0146265,2000,3,2.4,40,20
0.0146265,2200,3,2.4,40,20
12.4612,2400,3,2.4,40,20
37.6511,2600,3,2.4,40,20
53.6965,2800,3,2.4,40,20
70.4675,3000,3,2.4,40,20
85.3278,3200,3,2.4,40,20
101.073,3400,3,2.4,40,20
116.698,3600,3,2.4,40,20
113.504,3800,3,2.4,40,20
106.02,4000,3,2.4,40,20
104.059,4200,3,2.4,40,20
0.0146265,4400,3,2.4,40,20
0.0322728,4600,3,2.4,40,20
0.523327,4800,3,2.4,40,20
0.71039,5000,3,2.4,40,20
22.9489,5200,3,2.4,40,20
33.3006,5400,3,2.4,40,20
31.2581,5600,3,2.4,40,20
35.5604,5800,3,2.4,40,20
40.7453,6000,3,2.4,40,20
41.0918,6200,3,2.4,40,20
63.8521,6400,3,2.4,40,20
0.0146265,6600,3,2.4,40,20
0.0146265,6800,3,2.4,40,20
2.62003,7000,3,2.4,40,20
4.38858,7200,3,2.4,40,20
26.5957,7400,3,2.4,40,20
16.6054,7600,3,2.4,40,20
18.4446,7800,3,2.4,40,20
41.5126,8000,3,2.4,40,20
21.8444,8200,3,2.4,40,20
23.6711,8400,3,2.4,40,20
52.6802,8600,3,2.4,40,20
0.0146265,8800,3,2.4,40,20
0.0146265,9000,3,2.4,40,20
0.0146265,9200,3,2.4,40,20
29.4268,9400,3,2.4,40,20
6.2726,9600,3,2.4,40,20
14.7802,9800,3,2.4,40,20
8.84608,10000,3,2.4,40,20
123.895,200,3,5,40,20
150.396,400,3,5,40,20
164.81,600,3,5,40,20
173.353,800,3,5,40,20
179.457,1000,3,5,40,20
185.008,1200,3,5,40,20
188.939,1400,3,5,40,20
191.602,1600,3,5,40,20
193.661,1800,3,5,40,20
0.0160539,2000,3,5,40,20
0.0160584,2200,3,5,40,20
12.8324,2400,3,5,40,20
41.1963,2600,3,5,40,20
51.8769,2800,3,5,40,20
54.3012,3000,3,5,40,20
84.8935,3200,3,5,40,20
95.139,3400,3,5,40,20
124.229,3600,3,5,40,20
114.16,3800,3,5,40,20
108.004,4000,3,5,40,20
106.435,4200,3,5,40,20
0.0160584,4400,3,5,40,20
0.0160539,4600,3,5,40,20
0.480944,4800,3,5,40,20
1.19454,5000,3,5,40,20
23.1928,5200,3,5,40,20
33.818,5400,3,5,40,20
34.3205,5600,3,5,40,20
39.014,5800,3,5,40,20
44.5119,6000,3,5,40,20
46.9752,6200,3,5,40,20
68.0737,6400,3,5,40,20
0.0160584,6600,3,5,40,20
0.0160584,6800,3,5,40,20
3.317,7000,3,5,40,20
3.90053,7200,3,5,40,20
29.2184,7400,3,5,40,20
16.9213,7600,3,5,40,20
20.24,7800,3,5,40,20
45.3321,8000,3,5,40,20
23.3795,8200,3,5,40,20
25.159,8400,3,5,40,20
53.8142,8600,3,5,40,20
0.0160539,8800,3,5,40,20
0.0160584,9000,3,5,40,20
0.0917659,9200,3,5,40,20
31.555,9400,3,5,40,20
5.40961,9600,3,5,40,20
20.1363,9800,3,5,40,20
8.92168,10000,3,5,40,20
123.895,200,3,6,40,20
150.396,400,3,6,40,20
164.81,600,3,6,40,20
173.353,800,3,6,40,20
179.457,1000,3,6,40,20
185.008,1200,3,6,40,20
188.939,1400,3,6,40,20
191.602,1600,3,6,40,20
193.661,1800,3,6,40,20
0.0160539,2000,3,6,40,20
0.0160584,2200,3,6,40,20
12.8324,2400,3,6,40,20
41.1963,2600,3,6,40,20
51.8769,2800,3,6,40,20
54.3012,3000,3,6,40,20
84.8935,3200,3,6,40,20
95.139,3400,3,6,40,20
124.229,3600,3,6,40,20
114.16,3800,3,6,40,20
108.004,4000,3,6,40,20
106.435,4200,3,6,40,20
0.0160584,4400,3,6,40,20
0.0160539,4600,3,6,40,20
0.480944,4800,3,6,40,20
1.19454,5000,3,6,40,20
23.1928,5200,3,6,40,20
33.818,5400,3,6,40,20
34.3205,5600,3,6,40,20
39.014,5800,3,6,40,20
44.5119,6000,3,6,40,20
46.9752,6200,3,6,40,20
68.0737,6400,3,6,40,20
0.0160584,6600,3,6,40,20
0.0160584,6800,3,6,40,20
3.317,7000,3,6,40,20
3.90053,7200,3,6,40,20
29.2184,7400,3,6,40,20
16.9213,7600,3,6,40,20
20.24,7800,3,6,40,20
45.3321,8000,3,6,40,20
23.3795,8200,3,6,40,20
25.159,8400,3,6,40,20
53.8142,8600,3,6,40,20
0.0160539,8800,3,6,40,20
0.0160584,9000,3,6,40,20
0.0917659,9200,3,6,40,20
31.555,9400,3,6,40,20
5.40961,9600,3,6,40,20
20.1363,9800,3,6,40,20
8.92168,10000,3,6,40,20
