Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
121.408,200,3,2.4,40,20
147.555,400,3,2.4,40,20
162.212,600,3,2.4,40,20
170.246,800,3,2.4,40,20
176.224,1000,3,2.4,40,20
182.009,1200,3,2.4,40,20
185.393,1400,3,2.4,40,20
188.769,1600,3,2.4,40,20
190.387,1800,3,2.4,40,20
0.0146265,2000,3,2.4,40,20
0.0146265,2200,3,2.4,40,20
12.4612,2400,3,2.4,40,20
37.6511,2600,3,2.4,40,20
53.6965,2800,3,2.4,40,20
70.4675,3000,3,2.4,40,20
85.3278,3200,3,2.4,40,20
101.073,3400,3,2.4,40,20
116.698,3600,3,2.4,40,20
113.504,3800,3,2.4,40,20
106.02,4000,3,2.4,40,20
104.059,4200,3,2.4,40,20
0.0146265,4400,3,2.4,40,20
0.0322728,4600,3,2.4,40,20
0.523327,4800,3,2.4,40,20
0.71039,5000,3,2.4,40,20
22.9489,5200,3,2.4,40,20
33.3006,5400,3,2.4,40,20
31.2581,5600,3,2.4,40,20
35.5604,5800,3,2.4,40,20
40.7453,6000,3,2.4,40,20
41.0918,6200,3,2.4,40,20
63.8521,6400,3,2.4,40,20
0.0146265,6600,3,2.4,40,20
0.0146265,6800,3,2.4,40,20
2.62003,7000,3,2.4,40,20
4.38858,7200,3,2.4,40,20
26.5957,7400,3,2.4,40,20
16.6054,7600,3,2.4,40,20
18.4446,7800,3,2.4,40,20
41.5126,8000,3,2.4,40,20
21.8444,8200,3,2.4,40,20
23.6711,8400,3,2.4,40,20
52.6802,8600,3,2.4,40,20
0.0146265,8800,3,2.4,40,20
0.0146265,9000,3,2.4,40,20
0.0146265,9200,3,2.4,40,20
29.4268,9400,3,2.4,40,20
6.2726,9600,3,2.4,40,20
14.7802,9800,3,2.4,40,20
8.84608,10000,3,2.4,40,20
229.665,200,3,5,160,20
345.045,400,3,5,160,20
414.955,600,3,5,160,20
460.46,800,3,5,160,20
492.825,1000,3,5,160,20
515.757,1200,3,5,160,20
535.245,1400,3,5,160,20
552.76,1600,3,5,160,20
561.544,1800,3,5,160,20
0.0160584,2000,3,5,160,20
0.0160584,2200,3,5,160,20
24.1416,2400,3,5,160,20
42.6296,2600,3,5,160,20
184.311,2800,3,5,160,20
267.176,3000,3,5,160,20
280.418,3200,3,5,160,20
358.646,3400,3,5,160,20
350.232,3600,3,5,160,20
335.791,3800,3,5,160,20
315.573,4000,3,5,160,20
309.764,4200,3,5,160,20
0.0160584,4400,3,5,160,20
0.0160584,4600,3,5,160,20
0.531081,4800,3,5,160,20
0.3903,5000,3,5,160,20
39.3814,5200,3,5,160,20
79.8094,5400,3,5,160,20
50.2127,5600,3,5,160,20
136.901,5800,3,5,160,20
40.6268,6000,3,5,160,20
102.311,6200,3,5,160,20
147.312,6400,3,5,160,20
0.0160584,6600,3,5,160,20
0.0160584,6800,3,5,160,20
0.0160584,7000,3,5,160,20
33.4342,7200,3,5,160,20
6.47304,7400,3,5,160,20
71.7008,7600,3,5,160,20
66.43,7800,3,5,160,20
77.4609,8000,3,5,160,20
49.741,8200,3,5,160,20
95.8987,8400,3,5,160,20
133.985,8600,3,5,160,20
0.0160584,8800,3,5,160,20
0.0160584,9000,3,5,160,20
0.152989,9200,3,5,160,20
2.223,9400,3,5,160,20
34.4457,9600,3,5,160,20
1.73019,9800,3,5,160,20
41.2848,10000,3,5,160,20
229.665,200,3,6,160,20
345.045,400,3,6,160,20
414.955,600,3,6,160,20
460.46,800,3,6,160,20
492.825,1000,3,6,160,20
515.757,1200,3,6,160,20
535.245,1400,3,6,160,20
552.76,1600,3,6,160,20
561.544,1800,3,6,160,20
0.0160584,2000,3,6,160,20
0.0160584,2200,3,6,160,20
24.1416,2400,3,6,160,20
42.6296,2600,3,6,160,20
184.311,2800,3,6,160,20
267.176,3000,3,6,160,20
280.418,3200,3,6,160,20
358.646,3400,3,6,160,20
350.232,3600,3,6,160,20
335.791,3800,3,6,160,20
315.573,4000,3,6,160,20
309.764,4200,3,6,160,20
0.0160584,4400,3,6,160,20
0.0160584,4600,3,6,160,20
0.531081,4800,3,6,160,20
0.3903,5000,3,6,160,20
39.3814,5200,3,6,160,20
79.8094,5400,3,6,160,20
50.2127,5600,3,6,160,20
136.901,5800,3,6,160,20
40.6268,6000,3,6,160,20
102.311,6200,3,6,160,20
147.312,6400,3,6,160,20
0.0160584,6600,3,6,160,20
0.0160584,6800,3,6,160,20
0.0160584,7000,3,6,160,20
33.4342,7200,3,6,160,20
6.47304,7400,3,6,160,20
71.7008,7600,3,6,160,20
66.43,7800,3,6,160,20
77.4609,8000,3,6,160,20
49.741,8200,3,6,160,20
95.8987,8400,3,6,160,20
133.985,8600,3,6,160,20
0.0160584,8800,3,6,160,20
0.0160584,9000,3,6,160,20
0.152989,9200,3,6,160,20
2.223,9400,3,6,160,20
34.4457,9600,3,6,160,20
1.73019,9800,3,6,160,20
41.2848,10000,3,6,160,20
