Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
119.635,200,3,2.4,40,20
145.002,400,3,2.4,40,20
158.971,600,3,2.4,40,20
167.352,800,3,2.4,40,20
173.555,1000,3,2.4,40,20
179.012,1200,3,2.4,40,20
182.242,1400,3,2.4,40,20
185.25,1600,3,2.4,40,20
187.245,1800,3,2.4,40,20
0.0168427,2000,3,2.4,40,20
0.0168427,2200,3,2.4,40,20
12.9578,2400,3,2.4,40,20
21.4861,2600,3,2.4,40,20
65.6525,2800,3,2.4,40,20
89.2219,3000,3,2.4,40,20
96.4633,3200,3,2.4,40,20
120.572,3400,3,2.4,40,20
116.57,3600,3,2.4,40,20
111.54,3800,3,2.4,40,20
104.936,4000,3,2.4,40,20
102.554,4200,3,2.4,40,20
0.0168427,4400,3,2.4,40,20
0.0168427,4600,3,2.4,40,20
0.409275,4800,3,2.4,40,20
0.796117,5000,3,2.4,40,20
21.5594,5200,3,2.4,40,20
30.3732,5400,3,2.4,40,20
30.4336,5600,3,2.4,40,20
37.9385,5800,3,2.4,40,20
27.1402,6000,3,2.4,40,20
35.6424,6200,3,2.4,40,20
46.6572,6400,3,2.4,40,20
0.0168427,6600,3,2.4,40,20
0.0168427,6800,3,2.4,40,20
0.0275969,7000,3,2.4,40,20
14.1474,7200,3,2.4,40,20
4.53019,7400,3,2.4,40,20
17.6867,7600,3,2.4,40,20
26.299,7800,3,2.4,40,20
26.7954,8000,3,2.4,40,20
17.768,8200,3,2.4,40,20
30.5424,8400,3,2.4,40,20
44.2601,8600,3,2.4,40,20
0.0168427,8800,3,2.4,40,20
0.0168427,9000,3,2.4,40,20
0.0168427,9200,3,2.4,40,20
7.2493,9400,3,2.4,40,20
10.0585,9600,3,2.4,40,20
3.39364,9800,3,2.4,40,20
16.6859,10000,3,2.4,40,20
122.406,200,3,5,40,20
148.297,400,3,5,40,20
162.223,600,3,5,40,20
170.649,800,3,5,40,20
176.749,1000,3,5,40,20
182.182,1200,3,5,40,20
185.906,1400,3,5,40,20
188.637,1600,3,5,40,20
190.668,1800,3,5,40,20
0.0182701,2000,3,5,40,20
0.0182701,2200,3,5,40,20
12.5575,2400,3,5,40,20
22.1513,2600,3,5,40,20
65.9754,2800,3,5,40,20
83.5628,3000,3,5,40,20
93.6482,3200,3,5,40,20
121.527,3400,3,5,40,20
119.278,3600,3,5,40,20
113.669,3800,3,5,40,20
106.187,4000,3,5,40,20
104.435,4200,3,5,40,20
0.0182753,4400,3,5,40,20
0.0182701,4600,3,5,40,20
0.389593,4800,3,5,40,20
0.668346,5000,3,5,40,20
22.2178,5200,3,5,40,20
31.6314,5400,3,5,40,20
30.4698,5600,3,5,40,20
39.3622,5800,3,5,40,20
25.9137,6000,3,5,40,20
35.8413,6200,3,5,40,20
47.9394,6400,3,5,40,20
0.0182701,6600,3,5,40,20
0.0182701,6800,3,5,40,20
0.0182701,7000,3,5,40,20
12.3908,7200,3,5,40,20
6.29734,7400,3,5,40,20
17.8385,7600,3,5,40,20
28.8875,7800,3,5,40,20
26.5979,8000,3,5,40,20
19.6899,8200,3,5,40,20
28.7669,8400,3,5,40,20
47.5118,8600,3,5,40,20
0.0182701,8800,3,5,40,20
0.0182753,9000,3,5,40,20
0.0939776,9200,3,5,40,20
7.50822,9400,3,5,40,20
9.56438,9600,3,5,40,20
3.13536,9800,3,5,40,20
16.0089,10000,3,5,40,20
122.406,200,3,6,40,20
148.297,400,3,6,40,20
162.223,600,3,6,40,20
170.649,800,3,6,40,20
176.749,1000,3,6,40,20
182.182,1200,3,6,40,20
185.906,1400,3,6,40,20
188.637,1600,3,6,40,20
190.668,1800,3,6,40,20
0.0182701,2000,3,6,40,20
0.0182701,2200,3,6,40,20
12.5575,2400,3,6,40,20
22.1513,2600,3,6,40,20
65.9754,2800,3,6,40,20
83.5628,3000,3,6,40,20
93.6482,3200,3,6,40,20
121.527,3400,3,6,40,20
119.278,3600,3,6,40,20
113.669,3800,3,6,40,20
106.187,4000,3,6,40,20
104.435,4200,3,6,40,20
0.0182753,4400,3,6,40,20
0.0182701,4600,3,6,40,20
0.389593,4800,3,6,40,20
0.668346,5000,3,6,40,20
22.2178,5200,3,6,40,20
31.6314,5400,3,6,40,20
30.4698,5600,3,6,40,20
39.3622,5800,3,6,40,20
25.9137,6000,3,6,40,20
35.8413,6200,3,6,40,20
47.9394,6400,3,6,40,20
0.0182701,6600,3,6,40,20
0.0182701,6800,3,6,40,20
0.0182701,7000,3,6,40,20
12.3908,7200,3,6,40,20
6.29734,7400,3,6,40,20
17.8385,7600,3,6,40,20
28.8875,7800,3,6,40,20
26.5979,8000,3,6,40,20
19.6899,8200,3,6,40,20
28.7669,8400,3,6,40,20
47.5118,8600,3,6,40,20
0.0182701,8800,3,6,40,20
0.0182753,9000,3,6,40,20
0.0939776,9200,3,6,40,20
7.50822,9400,3,6,40,20
9.56438,9600,3,6,40,20
3.13536,9800,3,6,40,20
16.0089,10000,3,6,40,20
