Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
119.635,200,3,2.4,40,20
145.002,400,3,2.4,40,20
158.971,600,3,2.4,40,20
167.352,800,3,2.4,40,20
173.555,1000,3,2.4,40,20
179.012,1200,3,2.4,40,20
182.242,1400,3,2.4,40,20
185.25,1600,3,2.4,40,20
187.245,1800,3,2.4,40,20
0.0168427,2000,3,2.4,40,20
0.0168427,2200,3,2.4,40,20
12.9578,2400,3,2.4,40,20
21.4861,2600,3,2.4,40,20
65.6525,2800,3,2.4,40,20
89.2219,3000,3,2.4,40,20
96.4633,3200,3,2.4,40,20
120.572,3400,3,2.4,40,20
116.57,3600,3,2.4,40,20
111.54,3800,3,2.4,40,20
104.936,4000,3,2.4,40,20
102.554,4200,3,2.4,40,20
0.0168427,4400,3,2.4,40,20
0.0168427,4600,3,2.4,40,20
0.409275,4800,3,2.4,40,20
0.796117,5000,3,2.4,40,20
21.5594,5200,3,2.4,40,20
30.3732,5400,3,2.4,40,20
30.4336,5600,3,2.4,40,20
37.9385,5800,3,2.4,40,20
27.1402,6000,3,2.4,40,20
35.6424,6200,3,2.4,40,20
46.6572,6400,3,2.4,40,20
0.0168427,6600,3,2.4,40,20
0.0168427,6800,3,2.4,40,20
0.0275969,7000,3,2.4,40,20
14.1474,7200,3,2.4,40,20
4.53019,7400,3,2.4,40,20
17.6867,7600,3,2.4,40,20
26.299,7800,3,2.4,40,20
26.7954,8000,3,2.4,40,20
17.768,8200,3,2.4,40,20
30.5424,8400,3,2.4,40,20
44.2601,8600,3,2.4,40,20
0.0168427,8800,3,2.4,40,20
0.0168427,9000,3,2.4,40,20
0.0168427,9200,3,2.4,40,20
7.2493,9400,3,2.4,40,20
10.0585,9600,3,2.4,40,20
3.39364,9800,3,2.4,40,20
16.6859,10000,3,2.4,40,20
221.624,200,3,5,160,20
332.165,400,3,5,160,20
397.105,600,3,5,160,20
439.866,800,3,5,160,20
471.355,1000,3,5,160,20
493.374,1200,3,5,160,20
510.994,1400,3,5,160,20
527.894,1600,3,5,160,20
535.977,1800,3,5,160,20
0.0182753,2000,3,5,160,20
0.0182753,2200,3,5,160,20
22.6794,2400,3,5,160,20
42.6843,2600,3,5,160,20
213.8,2800,3,5,160,20
324.278,3000,3,5,160,20
280.036,3200,3,5,160,20
340.92,3400,3,5,160,20
335.075,3600,3,5,160,20
319.464,3800,3,5,160,20
302.514,4000,3,5,160,20
296.315,4200,3,5,160,20
0.0182753,4400,3,5,160,20
0.0401922,4600,3,5,160,20
0.50483,4800,3,5,160,20
0.397785,5000,3,5,160,20
37.1431,5200,3,5,160,20
78.6313,5400,3,5,160,20
51.1503,5600,3,5,160,20
129.366,5800,3,5,160,20
41.8347,6000,3,5,160,20
97.8166,6200,3,5,160,20
141.065,6400,3,5,160,20
0.0182753,6600,3,5,160,20
0.0182753,6800,3,5,160,20
0.0609183,7000,3,5,160,20
38.4112,7200,3,5,160,20
0.995332,7400,3,5,160,20
75.7964,7600,3,5,160,20
54.0873,7800,3,5,160,20
90.1781,8000,3,5,160,20
46.367,8200,3,5,160,20
85.9867,8400,3,5,160,20
79.1099,8600,3,5,160,20
0.0182753,8800,3,5,160,20
0.0182753,9000,3,5,160,20
0.155206,9200,3,5,160,20
0.175405,9400,3,5,160,20
83.5825,9600,3,5,160,20
2.89802,9800,3,5,160,20
66.5591,10000,3,5,160,20
221.624,200,3,6,160,20
332.165,400,3,6,160,20
397.105,600,3,6,160,20
439.866,800,3,6,160,20
471.355,1000,3,6,160,20
493.374,1200,3,6,160,20
510.994,1400,3,6,160,20
527.894,1600,3,6,160,20
535.977,1800,3,6,160,20
0.0182753,2000,3,6,160,20
0.0182753,2200,3,6,160,20
22.6794,2400,3,6,160,20
42.6843,2600,3,6,160,20
213.8,2800,3,6,160,20
324.278,3000,3,6,160,20
280.036,3200,3,6,160,20
340.92,3400,3,6,160,20
335.075,3600,3,6,160,20
319.464,3800,3,6,160,20
302.514,4000,3,6,160,20
296.315,4200,3,6,160,20
0.0182753,4400,3,6,160,20
0.0401922,4600,3,6,160,20
0.50483,4800,3,6,160,20
0.397785,5000,3,6,160,20
37.1431,5200,3,6,160,20
78.6313,5400,3,6,160,20
51.1503,5600,3,6,160,20
129.366,5800,3,6,160,20
41.8347,6000,3,6,160,20
97.8166,6200,3,6,160,20
141.065,6400,3,6,160,20
0.0182753,6600,3,6,160,20
0.0182753,6800,3,6,160,20
0.0609183,7000,3,6,160,20
38.4112,7200,3,6,160,20
0.995332,7400,3,6,160,20
75.7964,7600,3,6,160,20
54.0873,7800,3,6,160,20
90.1781,8000,3,6,160,20
46.367,8200,3,6,160,20
85.9867,8400,3,6,160,20
79.1099,8600,3,6,160,20
0.0182753,8800,3,6,160,20
0.0182753,9000,3,6,160,20
0.155206,9200,3,6,160,20
0.175405,9400,3,6,160,20
83.5825,9600,3,6,160,20
2.89802,9800,3,6,160,20
66.5591,10000,3,6,160,20
