MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s)
0,ErpOfdmRate6Mbps,18.2698,0,20
0,ErpOfdmRate6Mbps,18.2697,5,20
0,ErpOfdmRate6Mbps,18.2698,10,20
0,ErpOfdmRate6Mbps,18.2699,15,20
0,ErpOfdmRate6Mbps,18.2699,20,20
0,ErpOfdmRate6Mbps,18.2698,25,20
0,ErpOfdmRate6Mbps,18.2699,30,20
0,ErpOfdmRate6Mbps,18.2699,35,20
0,ErpOfdmRate6Mbps,18.2698,40,20
0,ErpOfdmRate6Mbps,18.27,45,20
0,ErpOfdmRate6Mbps,18.2699,50,20
0,ErpOfdmRate6Mbps,18.2698,55,20
0,ErpOfdmRate6Mbps,18.2699,60,20
0,ErpOfdmRate6Mbps,18.27,65,20
0,ErpOfdmRate6Mbps,18.2699,70,20
0,ErpOfdmRate6Mbps,18.27,75,20
0,ErpOfdmRate6Mbps,18.2699,80,20
0,ErpOfdmRate6Mbps,18.2699,85,20
0,ErpOfdmRate6Mbps,0,90,20
0,ErpOfdmRate6Mbps,0,95,20
0,ErpOfdmRate6Mbps,0,100,20
1,ErpOfdmRate12Mbps,36.5451,0,20
1,ErpOfdmRate12Mbps,36.5451,5,20
1,ErpOfdmRate12Mbps,36.545,10,20
1,ErpOfdmRate12Mbps,36.545,15,20
1,ErpOfdmRate12Mbps,36.5452,20,20
1,ErpOfdmRate12Mbps,36.5449,25,20
1,ErpOfdmRate12Mbps,36.5451,30,20
1,ErpOfdmRate12Mbps,36.5449,35,20
1,ErpOfdmRate12Mbps,36.545,40,20
1,ErpOfdmRate12Mbps,36.5452,45,20
1,ErpOfdmRate12Mbps,36.5449,50,20
1,ErpOfdmRate12Mbps,36.5451,55,20
1,ErpOfdmRate12Mbps,36.5449,60,20
1,ErpOfdmRate12Mbps,36.5453,65,20
1,ErpOfdmRate12Mbps,36.5451,70,20
1,ErpOfdmRate12Mbps,36.5461,75,20
1,ErpOfdmRate12Mbps,36.5747,80,20
1,ErpOfdmRate12Mbps,36.9498,85,20
1,ErpOfdmRate12Mbps,0,90,20
1,ErpOfdmRate12Mbps,0,95,20
1,ErpOfdmRate12Mbps,0,100,20
2,ErpOfdmRate18Mbps,54.8242,0,20
2,ErpOfdmRate18Mbps,54.8241,5,20
2,ErpOfdmRate18Mbps,54.824,10,20
2,ErpOfdmRate18Mbps,54.8245,15,20
2,ErpOfdmRate18Mbps,54.8242,20,20
2,ErpOfdmRate18Mbps,54.8241,25,20
2,ErpOfdmRate18Mbps,54.824,30,20
2,ErpOfdmRate18Mbps,54.8243,35,20
2,ErpOfdmRate18Mbps,54.8239,40,20
2,ErpOfdmRate18Mbps,54.8241,45,20
2,ErpOfdmRate18Mbps,54.8242,50,20
2,ErpOfdmRate18Mbps,54.8239,55,20
2,ErpOfdmRate18Mbps,54.825,60,20
2,ErpOfdmRate18Mbps,54.881,65,20
2,ErpOfdmRate18Mbps,56.4186,70,20
2,ErpOfdmRate18Mbps,77.3744,75,20
2,ErpOfdmRate18Mbps,94.6049,80,20
2,ErpOfdmRate18Mbps,0.0398805,85,20
2,ErpOfdmRate18Mbps,0,90,20
2,ErpOfdmRate18Mbps,0,95,20
2,ErpOfdmRate18Mbps,0,100,20
3,ErpOfdmRate24Mbps,73.099,0,20
3,ErpOfdmRate24Mbps,73.099,5,20
3,ErpOfdmRate24Mbps,73.0988,10,20
3,ErpOfdmRate24Mbps,73.0988,15,20
3,ErpOfdmRate24Mbps,73.0994,20,20
3,ErpOfdmRate24Mbps,73.0991,25,20
3,ErpOfdmRate24Mbps,73.0992,30,20
3,ErpOfdmRate24Mbps,73.0991,35,20
3,ErpOfdmRate24Mbps,73.0994,40,20
3,ErpOfdmRate24Mbps,73.1009,45,20
3,ErpOfdmRate24Mbps,73.3308,50,20
3,ErpOfdmRate24Mbps,78.9696,55,20
3,ErpOfdmRate24Mbps,128.237,60,20
3,ErpOfdmRate24Mbps,114.909,65,20
3,ErpOfdmRate24Mbps,0.0172048,70,20
3,ErpOfdmRate24Mbps,0.0172048,75,20
3,ErpOfdmRate24Mbps,0.0172048,80,20
3,ErpOfdmRate24Mbps,0.0172048,85,20
3,ErpOfdmRate24Mbps,0,90,20
3,ErpOfdmRate24Mbps,0,95,20
3,ErpOfdmRate24Mbps,0,100,20
4,ErpOfdmRate36Mbps,109.656,0,20
4,ErpOfdmRate36Mbps,109.657,5,20
4,ErpOfdmRate36Mbps,109.656,10,20
4,ErpOfdmRate36Mbps,109.657,15,20
4,ErpOfdmRate36Mbps,109.656,20,20
4,ErpOfdmRate36Mbps,109.657,25,20
4,ErpOfdmRate36Mbps,109.656,30,20
4,ErpOfdmRate36Mbps,109.658,35,20
4,ErpOfdmRate36Mbps,110.153,40,20
4,ErpOfdmRate36Mbps,152.014,45,20
4,ErpOfdmRate36Mbps,58.76,50,20
4,ErpOfdmRate36Mbps,0.0172048,55,20
4,ErpOfdmRate36Mbps,0.0172048,60,20
4,ErpOfdmRate36Mbps,0.0172048,65,20
4,ErpOfdmRate36Mbps,0.0172048,70,20
4,ErpOfdmRate36Mbps,0.0172048,75,20
4,ErpOfdmRate36Mbps,0.0172048,80,20
4,ErpOfdmRate36Mbps,0.0172048,85,20
4,ErpOfdmRate36Mbps,0,90,20
4,ErpOfdmRate36Mbps,0,95,20
4,ErpOfdmRate36Mbps,0,100,20
5,ErpOfdmRate48Mbps,146.213,0,20
5,ErpOfdmRate48Mbps,146.213,5,20
5,ErpOfdmRate48Mbps,146.213,10,20
5,ErpOfdmRate48Mbps,146.213,15,20
5,ErpOfdmRate48Mbps,146.213,20,20
5,ErpOfdmRate48Mbps,146.225,25,20
5,ErpOfdmRate48Mbps,152.602,30,20
5,ErpOfdmRate48Mbps,232.724,35,20
5,ErpOfdmRate48Mbps,0.0172048,40,20
5,ErpOfdmRate48Mbps,0.0172048,45,20
5,ErpOfdmRate48Mbps,0.0172048,50,20
5,ErpOfdmRate48Mbps,0.0172048,55,20
5,ErpOfdmRate48Mbps,0.0172048,60,20
5,ErpOfdmRate48Mbps,0.0172048,65,20
5,ErpOfdmRate48Mbps,0.0172048,70,20
5,ErpOfdmRate48Mbps,0.0172048,75,20
5,ErpOfdmRate48Mbps,0.0172048,80,20
5,ErpOfdmRate48Mbps,0.0172048,85,20
5,ErpOfdmRate48Mbps,0,90,20
5,ErpOfdmRate48Mbps,0,95,20
5,ErpOfdmRate48Mbps,0,100,20
6,ErpOfdmRate54Mbps,164.493,0,20
6,ErpOfdmRate54Mbps,164.494,5,20
6,ErpOfdmRate54Mbps,164.493,10,20
6,ErpOfdmRate54Mbps,164.495,15,20
6,ErpOfdmRate54Mbps,164.494,20,20
