MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),SimulationTime(s)
0,OfdmRate6Mbps,32.9093,0,20
0,OfdmRate6Mbps,32.9093,5,20
0,OfdmRate6Mbps,32.9093,10,20
0,OfdmRate6Mbps,32.9088,15,20
0,OfdmRate6Mbps,32.9084,20,20
0,OfdmRate6Mbps,32.9065,25,20
0,OfdmRate6Mbps,32.9057,30,20
0,OfdmRate6Mbps,32.9057,35,20
0,OfdmRate6Mbps,32.9057,40,20
0,OfdmRate6Mbps,32.9057,45,20
0,OfdmRate6Mbps,32.9052,50,20
0,OfdmRate6Mbps,0,55,20
0,OfdmRate6Mbps,0,60,20
0,OfdmRate6Mbps,0,65,20
1,OfdmRate12Mbps,66.2087,0,20
1,OfdmRate12Mbps,66.2087,5,20
1,OfdmRate12Mbps,66.2087,10,20
1,OfdmRate12Mbps,66.2078,15,20
1,OfdmRate12Mbps,66.2078,20,20
1,OfdmRate12Mbps,66.2078,25,20
1,OfdmRate12Mbps,66.2078,30,20
1,OfdmRate12Mbps,66.207,35,20
1,OfdmRate12Mbps,66.207,40,20
1,OfdmRate12Mbps,66.2059,45,20
1,OfdmRate12Mbps,66.2059,50,20
1,OfdmRate12Mbps,0,55,20
1,OfdmRate12Mbps,0,60,20
1,OfdmRate12Mbps,0,65,20
2,OfdmRate18Mbps,99.0147,0,20
2,OfdmRate18Mbps,99.0147,5,20
2,OfdmRate18Mbps,99.0134,10,20
2,OfdmRate18Mbps,99.0134,15,20
2,OfdmRate18Mbps,99.0134,20,20
2,OfdmRate18Mbps,99.0122,25,20
2,OfdmRate18Mbps,99.01,30,20
2,OfdmRate18Mbps,99.01,35,20
2,OfdmRate18Mbps,99.0072,40,20
2,OfdmRate18Mbps,98.7645,45,20
2,OfdmRate18Mbps,69.2077,50,20
2,OfdmRate18Mbps,0,55,20
2,OfdmRate18Mbps,0,60,20
2,OfdmRate18Mbps,0,65,20
3,OfdmRate24Mbps,130.606,0,20
3,OfdmRate24Mbps,130.605,5,20
3,OfdmRate24Mbps,130.605,10,20
3,OfdmRate24Mbps,130.603,15,20
3,OfdmRate24Mbps,130.603,20,20
3,OfdmRate24Mbps,130.601,25,20
3,OfdmRate24Mbps,130.601,30,20
3,OfdmRate24Mbps,129.976,35,20
3,OfdmRate24Mbps,100.943,40,20
3,OfdmRate24Mbps,0.0172048,45,20
3,OfdmRate24Mbps,0.0172048,50,20
3,OfdmRate24Mbps,0,55,20
3,OfdmRate24Mbps,0,60,20
3,OfdmRate24Mbps,0,65,20
4,OfdmRate36Mbps,190.335,0,20
4,OfdmRate36Mbps,190.332,5,20
4,OfdmRate36Mbps,190.33,10,20
4,OfdmRate36Mbps,190.327,15,20
4,OfdmRate36Mbps,190.326,20,20
4,OfdmRate36Mbps,190.323,25,20
4,OfdmRate36Mbps,175.484,30,20
4,OfdmRate36Mbps,0.0172048,35,20
4,OfdmRate36Mbps,0.0172048,40,20
4,OfdmRate36Mbps,0.0172048,45,20
